ลำดับ,,เลขที่เอกสาร,วันที่-เวลา,,,
1,,INV20170700008,2017-07-01 11:12:56,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0246-GREY,,S,1,
,2,D-0246-GREY,,M,1,
,3,D-0246-NAVY,,S,-1,
,4,D-0246-NAVY,,M,-1,
,,,,รวมก่อนลด,0,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2,,INV20170700010,2017-07-01 11:51:45,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0242-BLACK,,S,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3,,INV20170700012,2017-07-01 12:12:28,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,T-0234-BLACK,,---,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
4,,INV20170700016,2017-07-01 12:34:34,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,T-0110-WHITE,,---,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5,,INV20170700020,2017-07-01 13:00:04,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,T-0215-WHITE,,---,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6,,INV20170700023,2017-07-01 13:13:43,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,T-0226-NAVY,,S,1,
,2,T-0234-BLACK,,---,1,
,,,,รวมก่อนลด,2,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7,,INV20170700024,2017-07-01 13:14:58,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-224-NAVY,,M,1,
,2,T-0226-NAVY,,M,1,
,,,,รวมก่อนลด,2,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
8,,INV20170700027,2017-07-01 13:24:30,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,SK-0206-NAVY,,S,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
9,,INV20170700031,2017-07-01 13:34:35,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0209-WHITE,,S,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
10,,INV20170700042,2017-07-01 14:17:45,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0232-GREY,,S,1,
,2,D-0246-GREY,,S,1,
,,,,รวมก่อนลด,2,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
11,,INV20170700049,2017-07-01 14:32:24,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,SK-0206-NAVY,,L,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
12,,INV20170700054,2017-07-01 14:49:36,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0209-WHITE,,S,1,
,2,D-0235-MATCHA,,S,1,
,3,SK-0228-NAVY,,L,1,
,,,,รวมก่อนลด,3,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
13,,INV20170700056,2017-07-01 14:51:22,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,SK-0207-NAVY,,L,1,
,2,T-0197-WHITE,,---,1,
,3,T-0200-BLACK,,---,1,
,,,,รวมก่อนลด,3,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
14,,INV20170700063,2017-07-01 15:04:27,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0230-BLACK,,M,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
15,,INV20170700070,2017-07-01 15:31:46,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,T-0193-BLACK,,S,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
16,,INV20170700075,2017-07-01 15:48:46,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,JS-0236-GREEN,,M,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
17,,INV20170700084,2017-07-01 16:05:49,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0183-NUDE PINK,,M,1,
,2,D-0195-BLUE,,M,1,
,3,SK-0245-WHITE,,M,1,
,,,,รวมก่อนลด,3,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
18,,INV20170700093,2017-07-01 16:42:43,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,T-0193-WHITE,,S,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
19,,INV20170700094,2017-07-01 16:45:02,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0246-BLACK,,M,1,
,2,D-0246-GREY,,M,1,
,3,D-0246-NAVY,,M,1,
,4,SK-0245-BLACK,,L,1,
,,,,รวมก่อนลด,4,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
20,,INV20170700095,2017-07-01 16:46:22,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,T-0197-WHITE,,---,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
21,,INV20170700097,2017-07-01 16:48:33,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0242-BLACK,,S,1,
,2,SK-0245-BLACK,,M,1,
,3,SK-0248-BLACK,,S,1,
,4,T-0200-WHITE,,---,1,
,5,T-0243-BLACK,,---,1,
,,,,รวมก่อนลด,5,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
22,,INV20170700098,2017-07-01 16:52:07,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,SK-0245-BLACK,,L,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
23,,INV20170700099,2017-07-01 16:56:06,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0246-BLACK,,M,1,
,2,P-0210-GREY,,M,1,
,3,T-0214-DARK GREY,,M,1,
,4,T-0243-BLACK,,---,1,
,,,,รวมก่อนลด,4,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
24,,INV20170700106,2017-07-01 17:14:47,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,SK-0228-BLACK,,L,1,
,2,T-0124-BURGUNDY,,---,1,
,3,T-0228-BLACK,,M,1,
,,,,รวมก่อนลด,3,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
25,,INV20170700118,2017-07-01 17:37:09,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,SK-0222-BLACK,,S,1,
,2,SK-0222-BLUE GREY,,S,1,
,3,T-0221-BLUE GREY,,---,1,
,,,,รวมก่อนลด,3,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
26,,INV20170700122,2017-07-01 17:47:36,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,SK-0206-NAVY,,L,1,
,2,SK-0206-WHITE,,L,1,
,,,,รวมก่อนลด,2,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
27,,INV20170700131,2017-07-01 18:09:22,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0223-BLACK,,M,1,
,2,SK-0248-BLACK,,M,1,
,,,,รวมก่อนลด,2,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
28,,INV20170700140,2017-07-01 18:29:12,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,SK-0228-BLACK,,M,1,
,2,T-0228-BLACK,,M,1,
,,,,รวมก่อนลด,2,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
29,,INV20170700148,2017-07-01 19:01:08,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0230-BLACK,,M,1,
,2,SK-0228-BLACK,,L,1,
,3,T-0228-BLACK,,M,1,
,,,,รวมก่อนลด,3,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30,,INV20170700152,2017-07-01 19:25:02,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0232-GREY,,M,1,
,2,SK-0228-BLACK,,M,1,
,,,,รวมก่อนลด,2,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
31,,INV20170700156,2017-07-01 19:44:12,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,JS-0236-BLACK,,S,1,
,,,,รวมก่อนลด,1,
