ลำดับ,,เลขที่เอกสาร,วันที่-เวลา,,,
1,,INV20170600003,2017-06-01 11:33:34,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,SH-0229-WHITE,,M,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2,,INV20170600004,2017-06-01 11:44:12,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,T-0225-MINT,,---,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3,,INV20170600009,2017-06-01 14:42:36,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0216-WHITE,,M,1,
,2,D-0223-GREY,,M,1,
,,,,รวมก่อนลด,2,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
4,,INV20170600011,2017-06-01 15:21:20,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,T-0226-WHITE,,M,1,
,,,,รวมก่อนลด,1,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5,,INV20170600014,2017-06-01 16:04:45,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,SK-0240-BLACK,,S,1,
,2,T-0239-BLACK,,S,1,
,,,,รวมก่อนลด,2,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6,,INV20170600016,2017-06-01 16:46:10,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,SK-0179-BLACK,,S,1,
,2,SK-0240-BLACK,,S,-1,
,,,,รวมก่อนลด,0,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7,,INV20170600017,2017-06-01 17:12:57,,,
,,,,,,
,ลำดับ,รหัสสินค้า,,ออพชั่น,จำนวน,
,1,D-0217-WHITE,,M,1,
,2,D-0232-GREY,,M,1,
,,,,รวมก่อนลด,2,
,,,,ส่วนลด,,
,,,,ยอดสุทธิ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
8,,INV20170600018,2017-06-01 18:00:03,,,
,,,,,,
